epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,7239.29,2.00011,0.93184,1.64079,0.92912,0.98596,0.995,0.87533,0.99413,0.61953,1.65842,0.00037625,0.00037625,0.00037625
12,7945.36,2.12123,1.04649,1.6476,0.87042,0.97333,0.995,0.80204,1.12145,0.92708,1.69061,0.000363875,0.000363875,0.000363875
13,8588.35,1.96955,0.96221,1.64364,0.90287,0.93512,0.995,0.80074,1.14924,0.81834,1.69781,0.0003515,0.0003515,0.0003515
14,9217.89,1.87049,0.89222,1.64264,0.86494,1,0.995,0.8184,1.21403,0.76813,1.74483,0.000339125,0.000339125,0.000339125
15,9763.81,1.88803,0.90272,1.63004,0.94091,1,0.995,0.87024,1.15241,0.62264,1.72935,0.00032675,0.00032675,0.00032675
16,10267.8,1.83836,0.83508,1.6285,0.81749,0.99456,0.995,0.86055,0.9954,0.81662,1.67642,0.000314375,0.000314375,0.000314375
17,10761.8,1.88503,0.92191,1.6279,0.89516,0.98638,0.995,0.85542,1.07774,0.74578,1.69266,0.000302,0.000302,0.000302
18,11256.2,1.80387,0.80903,1.62398,0.77636,1,0.93944,0.80296,1.05905,0.69917,1.6644,0.000289625,0.000289625,0.000289625
19,11748.8,1.81196,0.80538,1.61532,0.96407,1,0.995,0.88347,1.21674,0.64992,1.68395,0.00027725,0.00027725,0.00027725
20,12243.3,1.75652,0.77451,1.61195,0.97506,0.97519,0.995,0.8983,1.02073,0.66384,1.66269,0.000264875,0.000264875,0.000264875
21,12736.6,1.87397,0.86042,1.61959,0.93719,0.95833,0.99056,0.83542,1.15493,0.74999,1.69928,0.0002525,0.0002525,0.0002525
22,13229.1,1.73784,0.80373,1.62447,0.95079,1,0.995,0.86642,0.96109,0.67788,1.66716,0.000240125,0.000240125,0.000240125
23,13722.3,1.74181,0.76617,1.60303,0.95613,1,0.995,0.8921,0.95019,0.65853,1.66578,0.00022775,0.00022775,0.00022775
24,14214.2,1.76431,0.74506,1.61781,0.87278,1,0.995,0.86502,0.88495,0.73872,1.66236,0.000215375,0.000215375,0.000215375
25,14707.7,1.6556,0.71998,1.60056,0.87839,0.97947,0.995,0.91949,0.83865,0.59982,1.63745,0.000203,0.000203,0.000203
26,15202.9,1.63888,0.68694,1.59475,0.9383,0.9954,0.995,0.87776,0.95762,0.60337,1.65993,0.000190625,0.000190625,0.000190625
27,15694.8,1.57563,0.6695,1.57665,0.93999,0.99177,0.995,0.90894,0.83517,0.5385,1.63656,0.00017825,0.00017825,0.00017825
28,16187.6,1.59978,0.68513,1.60392,0.96716,1,0.995,0.8953,0.79378,0.45696,1.62287,0.000165875,0.000165875,0.000165875
29,16684.1,1.55947,0.66692,1.60177,0.97693,1,0.995,0.92612,0.81107,0.41995,1.61888,0.0001535,0.0001535,0.0001535
30,17178.3,1.54475,0.6734,1.58934,0.97672,1,0.995,0.90902,0.69019,0.39153,1.60039,0.000141125,0.000141125,0.000141125
31,17671.2,1.53892,0.64461,1.57301,0.9591,0.98509,0.995,0.92006,0.77338,0.47558,1.62155,0.00012875,0.00012875,0.00012875
32,18163.2,1.42737,0.61619,1.56447,0.93784,1,0.995,0.89653,0.84812,0.57627,1.63003,0.000116375,0.000116375,0.000116375
33,18655.6,1.48905,0.61687,1.57731,0.96153,1,0.995,0.9215,0.69155,0.42334,1.60432,0.000104,0.000104,0.000104
34,19201.5,1.46453,0.60888,1.58662,0.96556,1,0.995,0.92256,0.72741,0.44134,1.60626,9.1625e-05,9.1625e-05,9.1625e-05
35,19756.6,1.42771,0.59446,1.56941,0.96752,1,0.995,0.92265,0.70001,0.46906,1.60153,7.925e-05,7.925e-05,7.925e-05
36,20267.5,1.42589,0.58059,1.56538,0.97185,1,0.995,0.93626,0.60847,0.35576,1.59065,6.6875e-05,6.6875e-05,6.6875e-05
37,20765.1,1.35634,0.56763,1.55364,0.97404,1,0.995,0.93904,0.60434,0.33228,1.58896,5.45e-05,5.45e-05,5.45e-05
38,21258.6,1.36542,0.56344,1.57505,0.97533,1,0.995,0.93904,0.58543,0.32416,1.58891,4.2125e-05,4.2125e-05,4.2125e-05
39,21754.9,1.29317,0.54882,1.57029,0.97478,1,0.995,0.93904,0.55829,0.31799,1.5879,2.975e-05,2.975e-05,2.975e-05
40,22253.1,1.31468,0.55895,1.57805,0.97782,0.99215,0.995,0.94525,0.54033,0.37549,1.58554,1.7375e-05,1.7375e-05,1.7375e-05
